"Country or Area","Year","Item","Value"
"Cyprus","2012","Gross Domestic Product (GDP)","28912.4288403132"
"Czechia","2012","Gross Domestic Product (GDP)","19738.3929658359"
"Democratic People's Republic of Korea","2012","Gross Domestic Product (GDP)","644.690217979728"
"Democratic Republic of the Congo","2012","Gross Domestic Product (GDP)","424.600876031981"
"Denmark","2012","Gross Domestic Product (GDP)","58305.9268645609"
"Djibouti","2012","Gross Domestic Product (GDP)","1964.19447352182"
"Dominica","2012","Gross Domestic Product (GDP)","6848.3942266793"
"Dominican Republic","2012","Gross Domestic Product (GDP)","6107.98113165831"
"Ecuador","2012","Gross Domestic Product (GDP)","5682.04537375063"
"Egypt","2012","Gross Domestic Product (GDP)","3199.82772743091"
"El Salvador","2012","Gross Domestic Product (GDP)","3428.40926667418"
"Equatorial Guinea","2012","Gross Domestic Product (GDP)","21712.3725948603"
"Eritrea","2012","Gross Domestic Product (GDP)","693.782280119961"
"Estonia","2012","Gross Domestic Product (GDP)","17528.2857025078"
"Ethiopia","2012","Gross Domestic Product (GDP)","455.212790462766"
"Fiji","2012","Gross Domestic Product (GDP)","4591.57323480201"
"Finland","2012","Gross Domestic Product (GDP)","47703.7500432345"
"France","2012","Gross Domestic Product (GDP)","40870.9631104059"
"French Polynesia","2012","Gross Domestic Product (GDP)","21164.4091398055"
"Gabon","2012","Gross Domestic Product (GDP)","9814.05035944483"
"Gambia","2012","Gross Domestic Product (GDP)","742.779573661051"
"Georgia","2012","Gross Domestic Product (GDP)","4057.18653184635"
"Germany","2012","Gross Domestic Product (GDP)","43562.1892393047"
"Ghana","2012","Gross Domestic Product (GDP)","2135.39810157997"
"Greece","2012","Gross Domestic Product (GDP)","22451.6025076913"
"Greenland","2012","Gross Domestic Product (GDP)","46213.5416140392"
"Grenada","2012","Gross Domestic Product (GDP)","7444.49752881896"
"Guatemala","2012","Gross Domestic Product (GDP)","3247.29949876397"
"Guinea","2012","Gross Domestic Product (GDP)","717.050595687462"
"Guinea-Bissau","2012","Gross Domestic Product (GDP)","616.411096613881"
"Guyana","2012","Gross Domestic Product (GDP)","5378.731675758"
"Haiti","2012","Gross Domestic Product (GDP)","762.619847614667"
"Honduras","2012","Gross Domestic Product (GDP)","2144.33716713762"
"Hungary","2012","Gross Domestic Product (GDP)","13024.2128661976"
"Iceland","2012","Gross Domestic Product (GDP)","45214.1493260029"
"India","2012","Gross Domestic Product (GDP)","1470.14242004057"
"Indonesia","2012","Gross Domestic Product (GDP)","3694.35923396515"
"Iran, Islamic Republic of","2012","Gross Domestic Product (GDP)","7982.63408652806"
"Iraq","2012","Gross Domestic Product (GDP)","6836.02750886189"
"Ireland","2012","Gross Domestic Product (GDP)","48822.636455216"
"Israel","2012","Gross Domestic Product (GDP)","33773.049194583"
"Italy","2012","Gross Domestic Product (GDP)","34854.6337764933"
"Jamaica","2012","Gross Domestic Product (GDP)","5209.78704316644"
"Japan","2012","Gross Domestic Product (GDP)","48302.7615026693"
"Jordan","2012","Gross Domestic Product (GDP)","3910.42767167579"
"Kazakhstan","2012","Gross Domestic Product (GDP)","12416.694531739"
"Kenya","2012","Gross Domestic Product (GDP)","1136.8113887553"
"Kingdom of Eswatini","2012","Gross Domestic Product (GDP)","4527.68643979368"
"Kiribati","2012","Gross Domestic Product (GDP)","1787.37243596833"
"Kosovo","2012","Gross Domestic Product (GDP)","3738.4984201468"
"Kuwait","2012","Gross Domestic Product (GDP)","51972.1825989182"
"Kyrgyzstan","2012","Gross Domestic Product (GDP)","1174.96169792982"
"Lao People's Democratic Republic","2012","Gross Domestic Product (GDP)","1581.39617169603"
"Latvia","2012","Gross Domestic Product (GDP)","13692.8045232268"
"Lebanon","2012","Gross Domestic Product (GDP)","7952.16272748643"
"Lesotho","2012","Gross Domestic Product (GDP)","1254.00391188387"
"Liberia","2012","Gross Domestic Product (GDP)","419.280216284757"
"Libya","2012","Gross Domestic Product (GDP)","16094.4442529978"
"Liechtenstein","2012","Gross Domestic Product (GDP)","164807.752625728"
"Lithuania","2012","Gross Domestic Product (GDP)","14100.3388727956"
"Luxembourg","2012","Gross Domestic Product (GDP)","106766.910461898"
"Madagascar","2012","Gross Domestic Product (GDP)","518.152727794617"
"Malawi","2012","Gross Domestic Product (GDP)","371.617883361696"
"Malaysia","2012","Gross Domestic Product (GDP)","10817.4286750419"
"Maldives","2012","Gross Domestic Product (GDP)","7265.59695230566"
"Mali","2012","Gross Domestic Product (GDP)","778.669553921275"
"Malta","2012","Gross Domestic Product (GDP)","21843.1045406311"
"Marshall Islands","2012","Gross Domestic Product (GDP)","3290.14893241885"
"Mauritania","2012","Gross Domestic Product (GDP)","1815.21893916998"
"Mauritius","2012","Gross Domestic Product (GDP)","9308.98143917231"
"Mexico","2012","Gross Domestic Product (GDP)","10241.7603190355"
"Micronesia (Federated States of)","2012","Gross Domestic Product (GDP)","3131.87759554475"
"Monaco","2012","Gross Domestic Product (GDP)","157518.763306869"
"Mongolia","2012","Gross Domestic Product (GDP)","4351.8833616882"
"Montenegro","2012","Gross Domestic Product (GDP)","6530.79677426036"
"Montserrat","2012","Gross Domestic Product (GDP)","12868.3044098866"
"Morocco","2012","Gross Domestic Product (GDP)","2956.0836004682"
"Mozambique","2012","Gross Domestic Product (GDP)","657.645305683822"
"Myanmar","2012","Gross Domestic Product (GDP)","1264.88472953943"
"Namibia","2012","Gross Domestic Product (GDP)","5930.51876348944"
"Nauru","2012","Gross Domestic Product (GDP)","11887.3358165726"
"Nepal","2012","Gross Domestic Product (GDP)","664.237983216159"
"Netherlands","2012","Gross Domestic Product (GDP)","49963.0360336274"
"New Caledonia","2012","Gross Domestic Product (GDP)","37059.6326139102"
"New Zealand","2012","Gross Domestic Product (GDP)","39430.3641170536"
"Nicaragua","2012","Gross Domestic Product (GDP)","1760.46329595174"
"Niger","2012","Gross Domestic Product (GDP)","519.850865785208"
"Nigeria","2012","Gross Domestic Product (GDP)","2746.99089582092"
"Norway","2012","Gross Domestic Product (GDP)","101622.634490063"
"Oman","2012","Gross Domestic Product (GDP)","21872.6202484258"
"Pakistan","2012","Gross Domestic Product (GDP)","1146.09947862263"
"Palau","2012","Gross Domestic Product (GDP)","11967.3097505669"
"Panama","2012","Gross Domestic Product (GDP)","10722.28706427"
"Papua New Guinea","2012","Gross Domestic Product (GDP)","2790.61229406174"
"Paraguay","2012","Gross Domestic Product (GDP)","5183.08206976794"
"Peru","2012","Gross Domestic Product (GDP)","6529.00583879512"
"Philippines","2012","Gross Domestic Product (GDP)","2572.6296134045"
"Poland","2012","Gross Domestic Product (GDP)","13040.9557631261"
"Portugal","2012","Gross Domestic Product (GDP)","20542.4930349726"
"Puerto Rico","2012","Gross Domestic Product (GDP)","28718.4312944852"
"Qatar","2012","Gross Domestic Product (GDP)","85076.1802372179"
"Republic of Korea","2012","Gross Domestic Product (GDP)","25537.5806277804"
"Republic of Moldova","2012","Gross Domestic Product (GDP)","2136.78827565417"
"Republic of North Macedonia","2012","Gross Domestic Product (GDP)","4698.14909360216"
"Romania","2012","Gross Domestic Product (GDP)","8463.553643709"
"Russian Federation","2012","Gross Domestic Product (GDP)","15349.6422571295"
"Rwanda","2012","Gross Domestic Product (GDP)","725.702968014183"
"Saint Kitts and Nevis","2012","Gross Domestic Product (GDP)","16044.5569951052"
"Saint Lucia","2012","Gross Domestic Product (GDP)","9086.80721979636"
"Saint Vincent and the Grenadines","2012","Gross Domestic Product (GDP)","6390.44725548161"
"Samoa","2012","Gross Domestic Product (GDP)","3995.00151268622"
"San Marino","2012","Gross Domestic Product (GDP)","56084.9037514227"
"Sao Tome and Principe","2012","Gross Domestic Product (GDP)","1340.52664182102"
"Saudi Arabia","2012","Gross Domestic Product (GDP)","25243.6071929087"
"Senegal","2012","Gross Domestic Product (GDP)","1372.59163185576"
"Serbia","2012","Gross Domestic Product (GDP)","6013.92362186039"
"Seychelles","2012","Gross Domestic Product (GDP)","11441.2758876307"
"Sierra Leone","2012","Gross Domestic Product (GDP)","566.37839837311"
"Singapore","2012","Gross Domestic Product (GDP)","54957.4744304507"
"Sint Maarten (Dutch part)","2012","Gross Domestic Product (GDP)","27202.4794751585"
"Slovakia","2012","Gross Domestic Product (GDP)","17458.2952080093"
"Slovenia","2012","Gross Domestic Product (GDP)","22635.7939775563"
"Solomon Islands","2012","Gross Domestic Product (GDP)","1754.98213619072"
"Somalia","2012","Gross Domestic Product (GDP)","119.503069539308"
"South Africa","2012","Gross Domestic Product (GDP)","7501.59853249481"
"South Sudan","2012","Gross Domestic Product (GDP)","878.339862550339"
"Spain","2012","Gross Domestic Product (GDP)","28149.8927437924"
"Sri Lanka","2012","Gross Domestic Product (GDP)","3332.96474166715"
"State of Palestine","2012","Gross Domestic Product (GDP)","2878.27181095315"
"Sudan","2012","Gross Domestic Product (GDP)","1720.923522038"
"Suriname","2012","Gross Domestic Product (GDP)","9200.82682547001"
"Sweden","2012","Gross Domestic Product (GDP)","57895.2752378232"
"Switzerland","2012","Gross Domestic Product (GDP)","86427.1549526757"
"Syrian Arab Republic","2012","Gross Domestic Product (GDP)","2291.61851466448"
"Tajikistan","2012","Gross Domestic Product (GDP)","969.294768212276"
"Thailand","2012","Gross Domestic Product (GDP)","5860.58459502108"
"Timor-Leste","2012","Gross Domestic Product (GDP)","1013.05045128218"
"Togo","2012","Gross Domestic Product (GDP)","631.103907565377"
"Tonga","2012","Gross Domestic Product (GDP)","4516.17170463726"
"Trinidad and Tobago","2012","Gross Domestic Product (GDP)","19157.3829215164"
"Tunisia","2012","Gross Domestic Product (GDP)","4152.70310433947"
"Turkey","2012","Gross Domestic Product (GDP)","11795.6266228172"
"Turkmenistan","2012","Gross Domestic Product (GDP)","6675.1989790532"
"Turks and Caicos Islands","2012","Gross Domestic Product (GDP)","21009.8857511889"
"Tuvalu","2012","Gross Domestic Product (GDP)","3464.11927633445"
"Uganda","2012","Gross Domestic Product (GDP)","707.367307436681"
"Ukraine","2012","Gross Domestic Product (GDP)","3867.23905576056"
"United Arab Emirates","2012","Gross Domestic Product (GDP)","40976.5053808243"
"United Kingdom of Great Britain and Northern Ireland","2012","Gross Domestic Product (GDP)","41906.303139796"
"United Republic of Tanzania: Mainland","2012","Gross Domestic Product (GDP)","860.49913548507"
"United Republic of Tanzania: Zanzibar","2012","Gross Domestic Product (GDP)","776.645775510335"
"United States","2012","Gross Domestic Product (GDP)","51575.6165734607"
"Uruguay","2012","Gross Domestic Product (GDP)","15171.6058143569"
"Uzbekistan","2012","Gross Domestic Product (GDP)","2173.33019895496"
"Vanuatu","2012","Gross Domestic Product (GDP)","3133.09020920348"
"Venezuela (Bolivarian Republic of)","2012","Gross Domestic Product (GDP)","12986.2098522974"
"Viet Nam","2012","Gross Domestic Product (GDP)","1735.15211600798"
"Yemen","2012","Gross Domestic Product (GDP)","1310.60904311093"
"Zambia","2012","Gross Domestic Product (GDP)","1717.79809109137"
"Zimbabwe","2012","Gross Domestic Product (GDP)","1304.96790963123"

