"Country or Area","Year","Area","Type of housing unit","City","Availability of ICT","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Argentina","2010","Total","Total","Mendoza","All households","Census - de facto - complete tabulation","Final figure, complete","2015","39136",""
"Argentina","2010","Total","Total","Mendoza","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","23247",""
"Argentina","2010","Total","Total","Rosario","All households","Census - de facto - complete tabulation","Final figure, complete","2015","392533",""
"Argentina","2010","Total","Total","Rosario","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","207673",""
"Argentina","2010","Total","Conventional dwellings","BUENOS AIRES","All households","Census - de facto - complete tabulation","Final figure, complete","2015","1127229",""
"Argentina","2010","Total","Conventional dwellings","BUENOS AIRES","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","783237",""
"Argentina","2010","Total","Conventional dwellings","Córdoba","All households","Census - de facto - complete tabulation","Final figure, complete","2015","412534",""
"Argentina","2010","Total","Conventional dwellings","Córdoba","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","231367",""
"Argentina","2010","Total","Conventional dwellings","Mendoza","All households","Census - de facto - complete tabulation","Final figure, complete","2015","38860",""
"Argentina","2010","Total","Conventional dwellings","Mendoza","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","23202",""
"Argentina","2010","Total","Conventional dwellings","Rosario","All households","Census - de facto - complete tabulation","Final figure, complete","2015","391074",""
"Argentina","2010","Total","Conventional dwellings","Rosario","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","207173",""
"Argentina","2010","Total","Other housing units","BUENOS AIRES","All households","Census - de facto - complete tabulation","Final figure, complete","2015","22905",""
"Argentina","2010","Total","Other housing units","BUENOS AIRES","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","5908",""
"Argentina","2010","Total","Other housing units","Córdoba","All households","Census - de facto - complete tabulation","Final figure, complete","2015","1703",""
"Argentina","2010","Total","Other housing units","Córdoba","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","657",""
"Argentina","2010","Total","Other housing units","Mendoza","All households","Census - de facto - complete tabulation","Final figure, complete","2015","276",""
"Argentina","2010","Total","Other housing units","Mendoza","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","45",""
"Argentina","2010","Total","Other housing units","Rosario","All households","Census - de facto - complete tabulation","Final figure, complete","2015","1459",""
"Argentina","2010","Total","Other housing units","Rosario","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2015","500",""
"Armenia","2011","Total","Total","YEREVAN","All households","Census - de jure - complete tabulation","Final figure, complete","2014","285097",""
"Armenia","2011","Total","Total","YEREVAN","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2014","237588",""
"Armenia","2011","Total","Total","YEREVAN","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2014","226804",""
"Armenia","2011","Total","Total","YEREVAN","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2014","133478",""
"Armenia","2011","Total","Total","YEREVAN","Households accessing the internet from other than home","Census - de jure - complete tabulation","Final figure, complete","2014","2604",""
"Armenia","2011","Total","Conventional dwellings","YEREVAN","All households","Census - de jure - complete tabulation","Final figure, complete","2014","268281",""
"Armenia","2011","Total","Conventional dwellings","YEREVAN","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2014","231602",""
"Armenia","2011","Total","Conventional dwellings","YEREVAN","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2014","220032",""
"Armenia","2011","Total","Conventional dwellings","YEREVAN","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2014","130159",""
"Armenia","2011","Total","Conventional dwellings","YEREVAN","Households accessing the internet from other than home","Census - de jure - complete tabulation","Final figure, complete","2014","2450",""
"Armenia","2011","Total","Other housing units","YEREVAN","All households","Census - de jure - complete tabulation","Final figure, complete","2014","3749",""
"Armenia","2011","Total","Other housing units","YEREVAN","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2014","1709",""
"Armenia","2011","Total","Other housing units","YEREVAN","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2014","2435",""
"Armenia","2011","Total","Other housing units","YEREVAN","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2014","737",""
"Armenia","2011","Total","Other housing units","YEREVAN","Households accessing the internet from other than home","Census - de jure - complete tabulation","Final figure, complete","2014","24",""
"Armenia","2011","Total","Unknown (type of housing unit)","YEREVAN","All households","Census - de jure - complete tabulation","Final figure, complete","2014","13067",""
"Armenia","2011","Total","Unknown (type of housing unit)","YEREVAN","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2014","4277",""
"Armenia","2011","Total","Unknown (type of housing unit)","YEREVAN","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2014","4337",""
"Armenia","2011","Total","Unknown (type of housing unit)","YEREVAN","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2014","2582",""
"Armenia","2011","Total","Unknown (type of housing unit)","YEREVAN","Households accessing the internet from other than home","Census - de jure - complete tabulation","Final figure, complete","2014","130",""
"Aruba","2010","Total","Total","ORANJESTAD","All households","Census - de jure - complete tabulation","Final figure, complete","2013","10128.2074292257",""
"Aruba","2010","Total","Total","ORANJESTAD","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2013","5573.38250006159",""
"Aruba","2010","Total","Total","ORANJESTAD","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2013","9603.23354836852",""
"Aruba","2010","Total","Total","ORANJESTAD","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2013","6163.30160329234",""
"Aruba","2010","Total","Conventional dwellings","ORANJESTAD","All households","Census - de jure - complete tabulation","Final figure, complete","2013","10128.2074292257",""
"Aruba","2010","Total","Conventional dwellings","ORANJESTAD","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2013","5573.38250006159",""
"Aruba","2010","Total","Conventional dwellings","ORANJESTAD","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2013","9603.23354836852",""
"Aruba","2010","Total","Conventional dwellings","ORANJESTAD","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2013","6163.30160329234",""
"Australia","2016","Total","Total","Brisbane","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","685886","1"
"Australia","2016","Total","Total","CANBERRA","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","129571","1"
"Australia","2016","Total","Total","Melbourne","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","1358265","1"
"Australia","2016","Total","Total","Sydney","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","1399292","1"
"Australia","2016","Total","Conventional dwellings","Brisbane","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","681755","1"
"Australia","2016","Total","Conventional dwellings","CANBERRA","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","129297","1"
"Australia","2016","Total","Conventional dwellings","Melbourne","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","1350895","1"
"Australia","2016","Total","Conventional dwellings","Sydney","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","1388252","1"
"Australia","2016","Total","Other housing units","Brisbane","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","2132","1"
"Australia","2016","Total","Other housing units","CANBERRA","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","57","1"
"Australia","2016","Total","Other housing units","Melbourne","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","3800","1"
"Australia","2016","Total","Other housing units","Sydney","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","6257","1"
"Australia","2016","Total","Unknown (type of housing unit)","Brisbane","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","1994","1"
"Australia","2016","Total","Unknown (type of housing unit)","CANBERRA","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","223","1"
"Australia","2016","Total","Unknown (type of housing unit)","Melbourne","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","3572","1"
"Australia","2016","Total","Unknown (type of housing unit)","Sydney","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2017","4778","1"
"Australia","2011","Total","Total","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2012","763026","1"
"Australia","2011","Total","Total","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","599749","1,2"
"Australia","2011","Total","Total","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2012","135036","1"
"Australia","2011","Total","Total","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","112366","1,2"
"Australia","2011","Total","Total","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2012","1494663","1"
"Australia","2011","Total","Total","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","1142110","1,2"
"Australia","2011","Total","Total","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2012","1601531","1"
"Australia","2011","Total","Total","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","1224544","1,2"
"Australia","2011","Total","Conventional dwellings","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2012","757006","1"
"Australia","2011","Total","Conventional dwellings","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","597161","1,2"
"Australia","2011","Total","Conventional dwellings","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2012","134621","1"
"Australia","2011","Total","Conventional dwellings","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","112167","1,2"
"Australia","2011","Total","Conventional dwellings","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2012","1489579","1"
"Australia","2011","Total","Conventional dwellings","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","1140037","1,2"
"Australia","2011","Total","Conventional dwellings","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2012","1594786","1"
"Australia","2011","Total","Conventional dwellings","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","1221452","1,2"
"Australia","2011","Total","Other housing units","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2012","5604","1"
"Australia","2011","Total","Other housing units","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","2273","1,2"
"Australia","2011","Total","Other housing units","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2012","360","1"
"Australia","2011","Total","Other housing units","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","150","1,2"
"Australia","2011","Total","Other housing units","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2012","4455","1"
"Australia","2011","Total","Other housing units","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","1589","1,2"
"Australia","2011","Total","Other housing units","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2012","4282","1"
"Australia","2011","Total","Other housing units","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","1413","1,2"
"Australia","2011","Total","Unknown (type of housing unit)","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2012","416","1"
"Australia","2011","Total","Unknown (type of housing unit)","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","315","1,2"
"Australia","2011","Total","Unknown (type of housing unit)","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2012","55","1"
"Australia","2011","Total","Unknown (type of housing unit)","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","49","1,2"
"Australia","2011","Total","Unknown (type of housing unit)","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2012","629","1"
"Australia","2011","Total","Unknown (type of housing unit)","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","484","1,2"
"Australia","2011","Total","Unknown (type of housing unit)","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2012","2463","1"
"Australia","2011","Total","Unknown (type of housing unit)","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2012","1679","1,2"
"Australia","2006","Total","Total","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2011","660826","1"
"Australia","2006","Total","Total","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","424834","1,2"
"Australia","2006","Total","Total","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2011","122818","1"
"Australia","2006","Total","Total","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","86926","1,2"
"Australia","2006","Total","Total","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2011","1351531","1"
"Australia","2006","Total","Total","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","824315","1,2"
"Australia","2006","Total","Total","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2011","1521463","1"
"Australia","2006","Total","Total","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","944879","1,2"
"Australia","2006","Total","Conventional dwellings","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2011","654595","1"
"Australia","2006","Total","Conventional dwellings","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","423419","1,2"
"Australia","2006","Total","Conventional dwellings","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2011","122542","1"
"Australia","2006","Total","Conventional dwellings","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","86855","1,2"
"Australia","2006","Total","Conventional dwellings","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2011","1347254","1"
"Australia","2006","Total","Conventional dwellings","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","823281","1,2"
"Australia","2006","Total","Conventional dwellings","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2011","1514879","1"
"Australia","2006","Total","Conventional dwellings","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","943083","1,2"
"Australia","2006","Total","Other housing units","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2011","5970","1"
"Australia","2006","Total","Other housing units","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","1295","1,2"
"Australia","2006","Total","Other housing units","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2011","232","1"
"Australia","2006","Total","Other housing units","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","58","1,2"
"Australia","2006","Total","Other housing units","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2011","3982","1"
"Australia","2006","Total","Other housing units","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","895","1,2"
"Australia","2006","Total","Other housing units","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2011","5270","1"
"Australia","2006","Total","Other housing units","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","1221","1,2"
"Australia","2006","Total","Unknown (type of housing unit)","Brisbane","All households","Census - de jure - complete tabulation","Final figure, complete","2011","261","1"
"Australia","2006","Total","Unknown (type of housing unit)","Brisbane","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","120","1,2"
"Australia","2006","Total","Unknown (type of housing unit)","CANBERRA","All households","Census - de jure - complete tabulation","Final figure, complete","2011","44","1"
"Australia","2006","Total","Unknown (type of housing unit)","CANBERRA","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","13","1,2"
"Australia","2006","Total","Unknown (type of housing unit)","Melbourne","All households","Census - de jure - complete tabulation","Final figure, complete","2011","295","1"
"Australia","2006","Total","Unknown (type of housing unit)","Melbourne","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","139","1,2"
"Australia","2006","Total","Unknown (type of housing unit)","Sydney","All households","Census - de jure - complete tabulation","Final figure, complete","2011","1314","1"
"Australia","2006","Total","Unknown (type of housing unit)","Sydney","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","575","1,2"
"Belarus","2009","Total","Total","Gomel","All households","Census - de jure - complete tabulation","Final figure, complete","2011","178447",""
"Belarus","2009","Total","Total","Gomel","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","149568",""
"Belarus","2009","Total","Total","Gomel","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","72570",""
"Belarus","2009","Total","Total","Gomel","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","44343",""
"Belarus","2009","Total","Total","MINSK","All households","Census - de jure - complete tabulation","Final figure, complete","2011","660504",""
"Belarus","2009","Total","Total","MINSK","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","566518",""
"Belarus","2009","Total","Total","MINSK","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","153677",""
"Belarus","2009","Total","Total","MINSK","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","111253",""
"Belarus","2009","Total","Total","Mogilev","All households","Census - de jure - complete tabulation","Final figure, complete","2011","121081",""
"Belarus","2009","Total","Total","Mogilev","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","101817",""
"Belarus","2009","Total","Total","Mogilev","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","48219",""
"Belarus","2009","Total","Total","Mogilev","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","28017",""
"Belarus","2009","Total","Total","Vitebsk","All households","Census - de jure - complete tabulation","Final figure, complete","2011","128919",""
"Belarus","2009","Total","Total","Vitebsk","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","105868",""
"Belarus","2009","Total","Total","Vitebsk","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","49523",""
"Belarus","2009","Total","Total","Vitebsk","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","24344",""
"Belarus","2009","Total","Conventional dwellings","Gomel","All households","Census - de jure - complete tabulation","Final figure, complete","2011","178447",""
"Belarus","2009","Total","Conventional dwellings","Gomel","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","149568",""
"Belarus","2009","Total","Conventional dwellings","Gomel","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","72570",""
"Belarus","2009","Total","Conventional dwellings","Gomel","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","44343",""
"Belarus","2009","Total","Conventional dwellings","MINSK","All households","Census - de jure - complete tabulation","Final figure, complete","2011","660504",""
"Belarus","2009","Total","Conventional dwellings","MINSK","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","566518",""
"Belarus","2009","Total","Conventional dwellings","MINSK","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","153677",""
"Belarus","2009","Total","Conventional dwellings","MINSK","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","111253",""
"Belarus","2009","Total","Conventional dwellings","Mogilev","All households","Census - de jure - complete tabulation","Final figure, complete","2011","121081",""
"Belarus","2009","Total","Conventional dwellings","Mogilev","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","101817",""
"Belarus","2009","Total","Conventional dwellings","Mogilev","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","48219",""
"Belarus","2009","Total","Conventional dwellings","Mogilev","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","28017",""
"Belarus","2009","Total","Conventional dwellings","Vitebsk","All households","Census - de jure - complete tabulation","Final figure, complete","2011","128919",""
"Belarus","2009","Total","Conventional dwellings","Vitebsk","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2011","105868",""
"Belarus","2009","Total","Conventional dwellings","Vitebsk","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","49523",""
"Belarus","2009","Total","Conventional dwellings","Vitebsk","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","24344",""
"Belgium","2001","Total","Total","Antwerpen (Anvers)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","213183",""
"Belgium","2001","Total","Total","BRUXELLES (BRUSSEL)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","65988",""
"Belgium","2001","Total","Total","Charleroi","All households","Census - de jure - complete tabulation","Final figure, complete","2009","90384",""
"Belgium","2001","Total","Total","Gent (Gand)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","104035",""
"Belgium","2001","Total","Conventional dwellings","Antwerpen (Anvers)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","202608",""
"Belgium","2001","Total","Conventional dwellings","Antwerpen (Anvers)","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2009","153680",""
"Belgium","2001","Total","Conventional dwellings","Antwerpen (Anvers)","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2009","128277",""
"Belgium","2001","Total","Conventional dwellings","Antwerpen (Anvers)","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2009","75593",""
"Belgium","2001","Total","Conventional dwellings","Antwerpen (Anvers)","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2009","48107",""
"Belgium","2001","Total","Conventional dwellings","BRUXELLES (BRUSSEL)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","57098",""
"Belgium","2001","Total","Conventional dwellings","BRUXELLES (BRUSSEL)","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2009","36793",""
"Belgium","2001","Total","Conventional dwellings","BRUXELLES (BRUSSEL)","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2009","36225",""
"Belgium","2001","Total","Conventional dwellings","BRUXELLES (BRUSSEL)","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2009","18306",""
"Belgium","2001","Total","Conventional dwellings","BRUXELLES (BRUSSEL)","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2009","11183",""
"Belgium","2001","Total","Conventional dwellings","Charleroi","All households","Census - de jure - complete tabulation","Final figure, complete","2009","86099",""
"Belgium","2001","Total","Conventional dwellings","Charleroi","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2009","53759",""
"Belgium","2001","Total","Conventional dwellings","Charleroi","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2009","53094",""
"Belgium","2001","Total","Conventional dwellings","Charleroi","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2009","19696",""
"Belgium","2001","Total","Conventional dwellings","Charleroi","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2009","9965",""
"Belgium","2001","Total","Conventional dwellings","Gent (Gand)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","100352",""
"Belgium","2001","Total","Conventional dwellings","Gent (Gand)","Households having fixed line telephone","Census - de jure - complete tabulation","Final figure, complete","2009","76890",""
"Belgium","2001","Total","Conventional dwellings","Gent (Gand)","Households having mobile cellular telephone","Census - de jure - complete tabulation","Final figure, complete","2009","62144",""
"Belgium","2001","Total","Conventional dwellings","Gent (Gand)","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2009","39662",""
"Belgium","2001","Total","Conventional dwellings","Gent (Gand)","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2009","25431",""
"Belgium","2001","Total","Other housing units","Antwerpen (Anvers)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","186",""
"Belgium","2001","Total","Other housing units","BRUXELLES (BRUSSEL)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","142",""
"Belgium","2001","Total","Other housing units","Charleroi","All households","Census - de jure - complete tabulation","Final figure, complete","2009","83",""
"Belgium","2001","Total","Other housing units","Gent (Gand)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","99",""
"Belgium","2001","Total","Unknown (type of housing unit)","Antwerpen (Anvers)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","10389",""
"Belgium","2001","Total","Unknown (type of housing unit)","BRUXELLES (BRUSSEL)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","8748",""
"Belgium","2001","Total","Unknown (type of housing unit)","Charleroi","All households","Census - de jure - complete tabulation","Final figure, complete","2009","4202",""
"Belgium","2001","Total","Unknown (type of housing unit)","Gent (Gand)","All households","Census - de jure - complete tabulation","Final figure, complete","2009","3584",""
"Bermuda","2010","Total","Total","HAMILTON","Households having personal computer","Census - de jure - complete tabulation","Final figure, complete","2011","264","3"
"Bermuda","2010","Total","Total","HAMILTON","Households accessing the internet from home","Census - de jure - complete tabulation","Final figure, complete","2011","219","3"
"Bolivia (Plurinational State of)","2012","Total","Total","El Alto","Households having radio","Census - de facto - complete tabulation","Final figure, complete","2014","216480",""
"Bolivia (Plurinational State of)","2012","Total","Total","El Alto","Households having television set","Census - de facto - complete tabulation","Final figure, complete","2014","208526",""
"Bolivia (Plurinational State of)","2012","Total","Total","El Alto","Households having fixed line telephone","Census - de facto - complete tabulation","Final figure, complete","2014","200967",""
"Bolivia (Plurinational State of)","2012","Total","Total","El Alto","Households having personal computer","Census - de facto - complete tabulation","Final figure, complete","2014","64073",""
"Bolivia (Plurinational State of)","2012","Total","Total","El Alto","Households accessing the internet from home","Census - de facto - complete tabulation","Final figure, complete","2014","13038",""
"Bolivia (Plurinational State of)","2012","Total","Total","LA PAZ","Households having radio","Census - de facto - complete tabulation","Final figure, complete","2014","202823",""
